College,Flutter (skill out of 5),Flask (skill out of 5),Firebase (skill out of 5),GCP (skill out of 5),AWS (skill out of 5),Predictive Modelling (skill out of 5),EDA (skill out of 5),NLP (skill out of 5)
GNITS,2,3,1,1,1,1,1,1
Kavikulguru Institute of Technology and Science,,,,,,3,4,2
MKSSS CUMMINS College of engineering Pune,1,,2,,,3,,
Acropolis institute of science and technology,2,2,2,4,4,2,1,3
LD College of engineering,1,3,1,2,2,5,4,3
Jadavpur University,1,2,2,1,1,2,3,1
Manipal University Jaipur,1,1,2,1,1,1,1,1
"Walchand Institute of Technology,Solapur",1,2,1,1,2,3,3,1
"VGSoM, IIT Kharagpur",1,1,1,1,1,3,4,3
The Assam kaziranga University ,1,1,1,1,1,2,2,1
University of petroleum and energy studies,1,3,2,1,3,3,3,3
Jadavpur University,1,1,1,1,1,4,5,2
jadavpur university,1,1,1,1,1,1,4,1
"Institute Of Engineering And Technology,DAVV Indore",2,3,2,2,2,1,1,1
CMRCET,1,1,1,1,1,3,4,1
Blekinge Institute of Technology ,1,1,1,1,1,3,4,3
National College of Ireland,2,2,2,2,4,5,5,4
RNS Institute of Technology,1,1,1,3,3,4,4,2
Coimbatore Institute of Technology,,,,,,3,3,
Kanpur Institute of technology,1,3,1,2,2,3,3,2
Manipal University Jaipur,1,4,1,1,1,4,4,4
Indiana University Bloomington,,,,3,4,,,
"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",,,,,,1,2,
KMIT,1,,3,,2,3,4,3
Jntuhceh,1,1,1,1,1,1,1,1
"JNTUH college of Engineering, Hyderabad ",1,2,2,1,2,3,4,2
BITS Pilani,1,1,2,1,1,3,4,2
"LNMIIT, Jaipur",3,3,1,1,3,4,4,3
"Institute of Engineering and Technology, Devi Ahilya Vishvvidhyalaya",4,4,5,4,4,5,5,4
RMK Engineering College,4,2,3,2,2,4,5,4
"College of Technology, GBPUAT, Pantnagar, Uttarakhand",1,1,1,1,1,4,4,4
"Institute Of Engineering And Technology, Devi Ahiliya Vishwavidyalaya",1,3,4,1,1,1,1,1
mahindra ecole centrale,2,2,3,1,3,2,3,3
Lovely Professional University,1,3,1,2,3,3,3,2
"JNTUH, College of Engineering-Hyderabad",1,2,2,1,1,3,3,3
Manipal University Jaipur,2,,1,,,2,,2
Mahindra Ècole Centrale,1,1,1,1,1,1,1,1
Mahindra Ecole Centrale,5,4,4,,,,,
Mahindra ecole centrale,1,1,1,1,3,1,1,1
Mahindra Ecole Centrale,4,3,4,,,,,
NIT Trichy,1,1,1,1,4,5,5,4
Vit University,4,1,2,1,1,1,1,2
Indian Institute of information technology Bhopal,3,3,3,2,2,3,3,3
"Vivekananda Education Society's Institute of Technology, Mumbai",,4,2,,,4,4,
Maharaja Surajmal Institute of Technology,,,,,,2,2,
"VIT University, Vellore",,4,,,,4,3,
Maharaja Surajmal Institute of Technology,1,1,1,1,1,1,1,1
Jaypee Institute Of Information Technology,3,3,2,1,2,2,1,3
The LNM Institute of Information Technology,2,2,2,2,2,3,3,2
pandit deendayal petroleum university,3,4,4,2,1,4,5,5
MEC,1,1,1,1,1,1,1,1
Lal Bahadur Shastri Institute of Management,4,3,4,3,3,4,4,3
Bms institute of technology,1,1,1,1,1,1,1,1
